Black Rock,-37.971320241,145.019299617,489
Chelsea,-38.049400457,145.121251827,489
Lysterfield,-37.918730950,145.279421348,488
Edithvale,-38.038229560,145.114370602,487
Mordialloc,-38.000121493,145.094039697,487
Scoresby,-37.893027304,145.228550498,482
Bell Post Hill,-38.099320483,144.328283743,481
Ormond,-37.904474556,145.042039877,480
Heidelberg West,-37.740695256,145.041840653,473
Seabrook,-37.881373992,144.758028345,473
Mont Albert North,-37.803612235,145.110621106,470
Seymour,-37.027751772,145.145985158,470
Croydon South,-37.815311174,145.274810269,468
Eltham North,-37.696910287,145.140768850,468
Venus Bay,-38.691484270,145.809461595,464
Broadford,-37.208202482,145.048560855,462
Bell Park,-38.106834496,144.336966689,461
Kew East,-37.793829236,145.052121645,458
Drysdale,-38.171826849,144.569278180,457
Geelong,-38.152546383,144.362641587,453
Waurn Ponds,-38.210400704,144.305009540,452
Flemington,-37.784523241,144.928529279,450
Abbotsford,-37.804093877,144.996785176,449
Cape Woolamai,-38.526759075,145.335498627,445
Delacombe,-37.584889751,143.816013527,444
Bannockburn,-38.048987428,144.171395968,440
Brunswick East,-37.769335891,144.976327258,440
Churchill,-38.311891735,146.415821580,439
Strathfieldsaye,-36.804338818,144.349377225,436
Jan Juc,-38.344985281,144.297949480,435
Red Cliffs,-34.307773635,142.192486834,434
McKinnon,-37.910740503,145.037673130,433
Montrose,-37.812136502,145.345284478,433
Kyabram,-36.314097603,145.045022612,431
North Melbourne,-37.798783156,144.947108683,431
Bonbeach,-38.063188295,145.125708740,429
Port Fairy,-38.381090894,142.231210984,429
Aspendale Gardens,-38.020996741,145.118345260,428
Fitzroy,-37.799661989,144.979354093,428
Niddrie,-37.739940385,144.884801461,426
Keilor,-37.715531727,144.824609671,422
Hampton East,-37.938610864,145.030646642,418
Hughesdale,-37.900533098,145.080803040,418
Daylesford,-37.342817810,144.143898493,416
Croydon Hills,-37.775492320,145.267198550,412
Epsom,-36.704743822,144.313485036,410
Flora Hill,-36.778118705,144.293133260,409
Chelsea Heights,-38.043046941,145.134889727,405
Herne Hill,-38.133967319,144.323579662,404
Maffra,-37.962177443,146.983750177,403
Hadfield,-37.709263502,144.945286426,401
Alexandra,-37.194627085,145.706618543,384
Heidelberg,-37.749962307,145.070169191,384
Trafalgar,-38.211505988,146.156559878,382
Oakleigh East,-37.903263052,145.115228971,379
Bittern,-38.340202936,145.173640695,378
The Basin,-37.858788155,145.313701314,378
Kingsville,-37.808903691,144.880918356,377
Burnside,-37.747985876,144.750139995,373
Buninyong,-37.650494959,143.884090360,371
Upper Ferntree Gully,-37.896403554,145.311920039,370
Fairfield,-37.774732594,145.020390256,368
Mansfield,-37.059533017,146.084731784,367
Albanvale,-37.746191466,144.768762471,365
Kennington,-36.768563817,144.300800609,365
Warranwood,-37.773240296,145.248609251,365
Williams Landing,-37.857387906,144.740154980,362
Irymple,-34.233252924,142.174522530,356
California Gully,-36.728794703,144.262198449,351
Euroa,-36.754085731,145.571776550,351
Creswick,-37.419258859,143.890627623,349
Mont Albert,-37.817822249,145.107821245,348
Heathcote,-36.921365874,144.713595109,347
Officer,-38.065053602,145.423590806,347
Camperdown,-38.234720306,143.144467197,346
Beechworth,-36.358778389,146.688549393,345
Ballan,-37.597396100,144.227300715,342
Crib Point,-38.354888753,145.196852673,342
Ballarat North,-37.540984385,143.868105816,339
Moorabbin,-37.939888653,145.049326322,339
Whittington,-38.176946720,144.391183976,334
Ardeer,-37.778383138,144.801805916,332
Carrum,-38.076742257,145.128280495,332
Clarinda,-37.939010013,145.105031577,332
Collingwood,-37.799356079,144.988931752,324
Monbulk,-37.875029055,145.413090309,321
Watsonia North,-37.696506319,145.085709410,321
Apollo Bay,-38.750446864,143.665878463,318
Somers,-38.391779159,145.168038177,318
