Bright,-36.72969916,146.964906,619518,275,996,1111,1053,80,67558,,,
Brighton,-37.9093394,144.9965165,1987231,2004,431,878,717,21,2440,,,
Brighton East,-37.91712784,145.0162906,1272768,1412,410,1337,1099,28,1745,,,
Brim,-36.07658608,142.4142165,397667,9,19243,73502,42582,40,281267,,,
Broadford,-37.20820248,145.0485609,321437,462,1351,12597,13369,50,23533,,,
Broadmeadows,-37.68454226,144.9255088,376473,883,446,1219,2404,37,1056,,,
Broadwater,-38.126816,142.05163,205000,1,32259,42622,46400,40,189261,,,
Bromley,-36.8795495,143.758011,271000,2,3320,18642,30048,46,107087,,,
Brookfield,-37.69666286,144.550584,424105,702,1356,1507,10645,46,1777,,,
Brooklyn,-37.82124939,144.8437438,534372,172,1608,888,4107,22,856,,,
Broomfield,-37.38600011,143.9101454,436063,16,4331,18155,19844,40,56702,,,
Brown Hill,-37.55088283,143.9049538,394567,210,2201,3464,4682,40,64135,,,
Brucknell,-38.467909,142.921084,350000,1,5342,32997,31947,40,110763,,,
Brunswick,-37.76624206,144.9617662,788566,1511,351,873,1027,22,1120,,,
Brunswick East,-37.76933589,144.9763273,856481,440,294,1423,1406,21,1441,,,
Brunswick West,-37.76313675,144.9433586,781003,663,422,1170,726,22,1173,,,
Bruthen,-37.69574159,147.8395443,284981,54,24170,24637,24704,80,194844,,,
Buangor,-37.36608833,143.170066,291667,3,20072,23424,20112,40,146121,,,
Buchan,-37.48626141,148.1739067,219083,12,27127,47586,45724,80,190854,,,
Buckland,-36.72431408,146.8844007,946000,6,5310,6661,7341,80,66372,,,
Buckley,-38.22464057,144.0669381,627625,8,6696,22004,22334,40,21971,,,
Budgeree,-38.42483846,146.3462751,422000,4,8058,14055,21575,80,83639,,,
Buffalo,-38.65294909,146.0635142,423600,5,6932,22728,12495,80,81607,,,
Buffalo River,-36.59116029,146.6976825,797500,2,4186,4181,4871,66,53652,,,
Bulla,-37.63377463,144.807393,772500,38,7087,7027,7849,41,7049,,,
Bullarook,-37.523621,144.004901,459000,1,14798,12749,13969,40,41851,,,
Bullarto,-37.40161221,144.2117695,691875,8,9084,9114,9163,38,36458,,,
Bullarto South,-37.41437352,144.1894453,649000,1,9013,9092,9288,40,36431,,,
Bulleen,-37.77007188,145.0923139,864928,771,443,886,527,28,834,,,
Bullengarook,-37.48966432,144.5078166,772768,28,7021,7616,7107,46,20707,,,
Bullioh,-36.195309,147.319976,615000,1,12451,34052,36554,75,40182,,,
Buln Buln,-38.09717612,145.945874,474917,30,7059,7199,8516,80,38641,,,
Buln Buln East,-38.083861,145.9959755,488000,2,8371,10233,11555,80,42911,,,
Bumberrah,-37.783855,147.834228,405000,1,17905,17190,17703,80,203376,,,
Bunbartha,-36.259326,145.353952,379667,3,12883,13943,12232,50,132489,,,
Bundalaguah,-38.03094507,147.0178626,459667,3,7170,7326,52095,80,132427,,,
Bundalong,-36.03367699,146.1660545,501704,49,14005,14735,14589,50,63634,,,
Bundalong South,-36.0872075,146.1868585,346000,2,17813,18270,18280,50,61037,,,
Bundoora,-37.69567253,145.0605864,573805,2114,608,985,976,35,931,,,
Bungador,-38.398023,143.291555,500000,1,22210,22179,22436,40,78302,,,
Bungalally,-36.764246,142.262935,340000,1,7348,8008,28714,40,249244,,,
Bungaree,-37.55756251,143.9941073,526545,11,11609,11107,12357,40,41379,,,
Buninyong,-37.65049496,143.8840904,6217402,371,3058,6919,10203,40,62960,,,
Bunkers Hill,-37.56985509,143.7411232,686000,6,6818,4934,9356,40,79393,,,
Bunyip,-38.09402408,145.7212295,684619,176,746,12645,13317,80,19110,,,
Burkes Flat,-36.6644709,143.5584923,100000,1,26489,45497,58027,46,136868,,,
Burnley,-37.82840039,145.0101934,882000,13,266,1285,1125,13,1494,,,
Burnside,-37.74798588,144.75014,6182297,373,784,1090,1071,37,2275,,,
Burnside Heights,-37.73105245,144.7565157,452047,525,943,962,1367,38,2271,,,
Burnt Creek,-37.115692,146.002729,136000,1,9895,62970,9843,60,91470,,,
Burrumbeet,-37.48489524,143.6546251,377833,6,15513,13344,17386,40,93038,,,
Burwood,-37.85111589,145.1123972,918824,1094,472,1582,954,31,1715,,,
Burwood East,-37.85384049,145.1495008,784560,710,556,666,1020,33,641,,,
Bushfield,-38.32548283,142.5068206,700063,16,780,5005,5887,40,147043,,,
Bushy Park,-37.87292862,147.0099182,440000,1,10824,10907,60797,80,133513,,,
Buxton,-37.42279289,145.7073182,612851,47,10443,46657,29530,60,48481,,,
Byaduk,-37.954636,141.944358,740000,1,24554,24440,53262,40,202598,,,
Byaduk North,-37.9128031,141.9497375,540500,2,19983,19869,57416,40,203398,,,
Cabarita,-34.20482097,142.0870194,603486,35,4544,4847,2838,50,441872,,,
Cabbage Tree,-37.462576,143.902126,428000,1,4201,10514,11583,40,52954,,,
Cabbage Tree Creek,-37.6984833,148.7194021,285750,2,22422,67439,66098,80,239786,,,
Cadello,-37.30675,144.53417,1530000,1,5429,5464,8075,50,34734,,,
Cairnlea,-37.75959254,144.786412,515056,585,922,683,1382,32,1388,,,
California Gully,-36.7287947,144.2621984,280556,351,1479,4134,4151,50,99094,,,
Calivil,-36.26490457,144.1031119,393000,3,37604,52509,37802,50,149521,,,
Callawadda,-36.8219235,142.8441545,323500,2,27116,27102,82972,40,197114,,,
Callignee,-38.33424478,146.5809406,556222,9,15172,15579,15977,80,98647,,,
Calulu,-37.796724,147.50644,258000,1,9621,11362,44257,80,194207,,,
Camberwell,-37.83933693,145.0751804,1528415,1576,564,1118,946,30,1476,,,
Cambrian Hill,-37.63680127,143.8184383,695600,15,4971,4589,8584,40,69010,,,
Campbellfield,-37.67562381,144.9620531,374040,260,1172,1595,2990,39,2598,,,
Campbells Creek,-37.09210593,144.2046168,539989,138,3201,27958,3315,50,71239,,,
Campbells Forest,-36.6020715,144.106679,318500,2,14661,23401,23132,50,118816,,,
Campbelltown,-37.2057655,143.945427,297000,2,17838,23043,23075,40,68038,,,
Camperdown,-38.23472031,143.1444672,380452,346,718,1069,996,40,93159,,,
Canadian,-37.5835805,143.8762239,358089,241,1826,2505,3155,40,69058,,,
Cann River,-37.56294929,149.1545635,275950,20,52840,86505,72137,80,234310,,,
Cannons Creek,-38.21239837,145.3131452,380333,60,5970,10409,12702,67,11721,,,
Canterbury,-37.82415633,145.0758131,1969222,714,522,951,1035,28,787,,,
Cape Bridgewater,-38.36303276,141.4096639,836000,4,17020,17041,16760,40,242438,,,
Cape Clear,-37.7635305,143.6179825,578000,4,14588,28046,27887,40,83762,,,
Cape Conran,-37.779701,148.708753,326000,1,23175,64348,63066,80,245790,,,
Cape Otway,-38.82149347,143.5474442,609200,5,12482,53578,48564,40,72588,,,
Cape Paterson,-38.6702581,145.613159,367579,121,7386,7577,62468,101,70018,,,
